Unnamed: 0,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,Result,reasoning_short,Extracted_Symptom,Harmonized_Symptom
33,2,"['A04', 'A08', 'F50']",Mianserin,0.006494458,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,Mianserin is used for eating disorders and has indirect support for managing symptoms related to infections and other conditions; observational studies and accepted practice.,eating disorders and has indirect support for symptoms related to infections and other conditions,eating disorders and has indirect support for symptoms related to infections and other conditions
34,2,"['A04', 'A08', 'F50']",Tapentadol,0.030140071,"['bacterial intestinal infections', 'viral and specified intestinal infections', 'eating disorders']",1,"Tapentadol is used for managing pain in opioid-related conditions, which can be relevant for bacterial intestinal infections and eating disorders; indirect support from clinical practice.",pain in opioid-related conditions,opioid-related symptoms
38,3,"['H73', 'K92']",Cyanocobalamin,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Cyanocobalamin is used for vitamin B12 deficiency, which can be related to digestive system disorders; indirect support from observational studies.",vitamin b12 deficiency,vitamin b12 deficiency
40,3,"['H73', 'K92']",Fluvoxamine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Fluvoxamine is used for gastrointestinal disorders and has indirect support for tympanic membrane disorders; observational studies and accepted practice.,gastrointestinal disorders and has indirect support for tympanic membrane disorders,digestive disorders and has indirect support for tympanic membrane issues
44,3,"['H73', 'K92']",Pyrimethamine,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Pyrimethamine is used for treating toxoplasmosis, which can be associated with digestive issues; indirect evidence from practice (case studies). Not specific to tympanic membrane disorders.",treating toxoplasmosis,treating toxoplasmosis
51,3,"['H73', 'K92']",Sulfanilamide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Historically used for infections related to digestive system; indirect evidence from practice and observational studies.,infections related to digestive system,infections related to digestive system
53,3,"['H73', 'K92']",Venlafaxine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Venlafaxine is used for managing symptoms like nausea and agitation, which are relevant to the digestive system and tympanic membrane disorders; indirect clinical support (observational/accepted practice).",symptoms like nausea and agitation,nausea
54,3,"['H73', 'K92']",Acetaminophen,0.007476881,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Commonly used for pain management in digestive system disorders; indirect clinical support (observational/accepted practice). Not specific to tympanic membrane disorders.,pain management in digestive system disorders,pain management in digestive system disorders
57,3,"['H73', 'K92']",Omeprazole,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Omeprazole is commonly used for digestive system disorders, including those related to the tympanic membrane, due to its acid-reducing properties; indirect clinical support (observational/accepted practice).",digestive system disorders,digestive system disorders
59,3,"['H73', 'K92']",Diltiazem,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Diltiazem is used for hypertension and angina, which can be related to digestive system disorders; indirect evidence from practice (not specific to tympanic membrane disorders).",hypertension and angina,hypertension and angina
62,3,"['H73', 'K92']",Zolpidem,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Zolpidem is commonly used for insomnia management, which is relevant for digestive system disorders; indirect clinical support (observational/accepted practice). Not specific to the full combo.",insomnia management,insomnia management
64,3,"['H73', 'K92']",Lansoprazole,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Lansoprazole is commonly used for digestive system disorders, such as acid reflux, which aligns with the trajectory conditions; indirect clinical support (observational/accepted practice).",digestive system disorders,digestive system disorders
71,3,"['H73', 'K92']",Cisapride,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Cisapride is used for gastrointestinal motility disorders, which aligns with digestive system diseases; indirect clinical support (observational/accepted practice). Not specific to tympanic membrane disorders.",gastrointestinal motility disorders,gastrointestinal motility disorders
72,3,"['H73', 'K92']",Amodiaquine,0.000191568,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Amodiaquine is used for malaria, which can be related to digestive system issues due to parasites; indirect evidence from practice.",malaria,malaria
78,3,"['H73', 'K92']",Thioridazine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Thioridazine is used for agitation and psychosis, which can be relevant for disorders of the tympanic membrane and digestive system; indirect clinical support (observational/accepted practice).",agitation and psychosis,agitation
81,3,"['H73', 'K92']",Methazolamide,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Methazolamide is used for conditions like glaucoma and acute mountain sickness, which can be related to disorders of the tympanic membrane and digestive system; indirect clinical support (observational/accepted practice).",conditions like glaucoma and acute mountain sickness,conditions like glaucoma and acute mountain sickness
83,3,"['H73', 'K92']",Paroxetine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Commonly used for anxiety and depression, which can be related to digestive system disorders; indirect clinical support (observational/accepted practice). Not specific to the full combo.",anxiety and depression,anxiety and depression
85,3,"['H73', 'K92']",Tranylcypromine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Tranylcypromine is used for disorders of the tympanic membrane (e.g., Meniere's disease) and has indirect support for digestive system disorders (observational/accepted practice). Not specific to the full combo.",disorders of the tympanic membrane (e,tympanic membrane disorders
89,3,"['H73', 'K92']",Loperamide,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Loperamide is commonly used for diarrhea, which is a symptom related to disorders of the digestive system; indirect clinical support (observational/accepted practice).",diarrhea,diarrhea
90,3,"['H73', 'K92']",Donepezil,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Donepezil is commonly used for cognitive symptoms in dementia, which can be relevant for disorders of the tympanic membrane and digestive system; indirect clinical support (observational/accepted practice).",cognitive symptoms in dementia,symptoms of dementia
91,3,"['H73', 'K92']",Perphenazine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Perphenazine is used for agitation and psychosis, which can be relevant for disorders of the tympanic membrane and digestive system; indirect clinical support (observational/accepted practice).",agitation and psychosis,agitation
92,3,"['H73', 'K92']",Terbinafine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Terbinafine is commonly used for fungal infections of the digestive system and tympanic membrane, with evidence from clinical practice and observational studies.",fungal infections of the digestive system and tympanic membrane,disorders of tympanic membrane and digestive system
94,3,"['H73', 'K92']",Ondansetron,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Ondansetron is commonly used for nausea management, which is relevant for digestive system disorders; indirect clinical support (observational/accepted practice). No specific match for tympanic membrane disorders.",nausea management,nausea management
100,3,"['H73', 'K92']",Desloratadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Desloratadine is commonly used for allergies, which can be related to digestive issues; indirect clinical support (observational/accepted practice). No specific match for tympanic membrane disorders.",allergies,allergies
101,3,"['H73', 'K92']",Azelastine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Azelastine is used for allergic conditions, which may include symptoms related to disorders of the tympanic membrane and digestive system, such as nasal congestion and allergic reactions.",allergic conditions,allergies
103,3,"['H73', 'K92']",Sulfamethoxazole,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Sulfamethoxazole is commonly used for treating infections related to the digestive system, such as those caused by Pseudomonas aeruginosa, which is relevant to the trajectory.",treating infections related to the digestive system,treating infections related to the digestive system
105,3,"['H73', 'K92']",Tolterodine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Tolterodine is commonly used for overactive bladder, which is related to disorders of the digestive system; indirect clinical support (observational/accepted practice). Not specific to the full combo.",overactive bladder,overactive bladder
106,3,"['H73', 'K92']",Selegiline,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Selegiline is used for depression, which can be associated with digestive disorders; indirect support from practice and observational studies.",depression,depression
107,3,"['H73', 'K92']",Promethazine,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Promethazine is used for nausea and vomiting, which can be symptoms of digestive system disorders; indirect support from practice and observational studies.",nausea and vomiting,nausea
110,3,"['H73', 'K92']",Tegaserod,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Tegaserod is used for managing symptoms of irritable bowel syndrome (IBS), which is relevant to the digestive system condition; indirect support from clinical practice.",symptoms of irritable bowel syndrome (ibs),irritable bowel syndrome
115,3,"['H73', 'K92']",Rabeprazole,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Rabeprazole is commonly used for digestive system disorders, including peptic ulcers and GERD, which are relevant to the trajectory; indirect clinical support (observational/accepted practice).",digestive system disorders,digestive system disorders
118,3,"['H73', 'K92']",Carvedilol,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Carvedilol is used for heart failure, which can be related to digestive system disorders; indirect evidence from practice (not specific to tympanic membrane disorders).",heart failure,heart failure
119,3,"['H73', 'K92']",Sulfinpyrazone,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Used for managing uric acid levels, which can be relevant for digestive system disorders; indirect support from observational studies.",uric acid levels,uric acid levels
121,3,"['H73', 'K92']",Moclobemide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Moclobemide is used for disorders of the digestive system, specifically for conditions like peptic ulcer disease; indirect clinical support (observational/accepted practice). No specific match for tympanic membrane disorders.",disorders of the digestive system,digestive system disorders
128,3,"['H73', 'K92']",Dexamethasone,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Dexamethasone is commonly used for inflammation and immune response modulation, which can be relevant for disorders of the tympanic membrane and digestive system; indirect clinical support (observational/accepted practice).",inflammation and immune response modulation,inflammation and immune response
130,3,"['H73', 'K92']",Arformoterol,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Arformoterol is used for respiratory conditions, which can be indirectly related to digestive system disorders due to shared symptoms like dyspnea; indirect clinical support (observational/accepted practice).",respiratory conditions,respiratory symptoms
131,3,"['H73', 'K92']",Pranlukast,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Pranlukast is used for tympanic membrane disorders; indirect evidence for digestive system conditions (observational/accepted practice). Not specific to the full combo.,tympanic membrane disorders,tympanic membrane disorders
136,3,"['H73', 'K92']",Etoricoxib,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Etoricoxib is commonly used for inflammatory conditions like those affecting the digestive system; indirect clinical support (observational/accepted practice). No specific match for tympanic membrane disorders.,inflammatory conditions like those affecting the digestive system,digestive issues and inflammation
137,3,"['H73', 'K92']",Flunarizine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Flunarizine is used for disorders of tympanic membrane and digestive system; evidence from observational studies and accepted practice.,disorders of tympanic membrane and digestive system,disorders of tympanic membrane and digestive system
139,3,"['H73', 'K92']",Clevidipine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Clevidipine is used for hypertension management, which can be relevant for disorders of the digestive system due to potential vasodilation effects; indirect clinical support (observational/accepted practice).",hypertension management,hypotension management
142,3,"['H73', 'K92']",Histamine,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Histamine is used for digestive disorders and has indirect support for tympanic membrane issues; observational studies and accepted practice.,digestive disorders and has indirect support for tympanic membrane issues,digestive disorders and has indirect support for tympanic membrane issues
144,3,"['H73', 'K92']",Tapentadol,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Tapentadol is used for pain management in conditions involving the digestive system, such as irritable bowel syndrome; indirect clinical support (observational/accepted practice). Not specific to the full combo.",pain management in conditions involving the digestive system,pain management in digestive system disorders
149,3,"['H73', 'K92']",Parecoxib,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']",1,Parecoxib is used for inflammation management in digestive conditions; indirect support from observational studies and accepted practice.,inflammation management in digestive conditions,pain management in digestive system disorders
154,3,"['H73', 'K92']",Netupitant,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Netupitant is used for nausea and vomiting, which can be symptoms in digestive system disorders; indirect support from practice and observational studies.",nausea and vomiting,nausea
156,3,"['H73', 'K92']",Stiripentol,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Stiripentol is used for managing seizures in epilepsy, which can be relevant for disorders of the tympanic membrane due to its effects on seizure activity. It is also used for digestive system disorders due to its anti-inflammatory properties.",seizures in epilepsy,epilepsy
161,3,"['H73', 'K92']",Rupatadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Rupatadine is used for allergies, which can be related to digestive issues; indirect support from practice.",allergies,allergies
162,3,"['H73', 'K92']",Curcumin,0.001591521,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Curcumin is used for digestive issues and inflammation, with some evidence supporting its use for tympanic membrane disorders; indirect support from observational studies and accepted practice.",digestive issues and inflammation,digestive issues and inflammation
163,3,"['H73', 'K92']",Diacerein,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']",1,"Diacerein is used for disorders of the digestive system, specifically for inflammatory conditions like ulcerative colitis; indirect support from observational studies and accepted practice.",disorders of the digestive system,digestive system disorders
167,4,"['A41', 'C91', 'N10']",Sorafenib,0.00163369,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Sorafenib is used for renal cell carcinoma, which is related to acute tubulo-interstitial nephritis; indirect evidence from practice and guidelines.",renal cell carcinoma,renal cell carcinoma
168,4,"['A41', 'C91', 'N10']",Trimethoprim,0.02337599,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Trimethoprim is commonly used for bacterial infections, which aligns with the conditions of septicaemia and lymphoid leukaemia. It is also used for urinary tract infections, which can be related to acute tubulo-interstitial nephritis. Indirect clinical support (observational/accepted practice).",bacterial infections,bacterial infections
169,4,"['A41', 'C91', 'N10']",Methotrexate,0.0314753,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,Methotrexate is used for lymphoid leukaemia and has indirect support for septicaemia and nephritis management; plausible symptom management for inflammation and pain.,lymphoid leukaemia and has indirect support for septicaemia and nephritis management,lymphoid leukaemia and has indirect support for septicaemia and nephritis management
170,4,"['A41', 'C91', 'N10']",Imatinib,0.017940175,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Imatinib is used for chronic myeloid leukaemia (CML), which is related to lymphoid leukaemia; evidence supports its use in CML, with indirect relevance to the trajectory conditions.",chronic myeloid leukaemia (cml),chronic myeloid leukemia
171,4,"['A41', 'C91', 'N10']",Dasatinib,7.158532482747722e-06,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Dasatinib is used for lymphoid leukaemia, which is part of the trajectory; evidence from clinical guidelines and studies support its use in this condition.",lymphoid leukaemia,lymphoid leukaemia
172,4,"['A41', 'C91', 'N10']",Sunitinib,0.006290002,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Sunitinib is used for renal cell carcinoma, which is related to acute tubulo-interstitial nephritis; indirect evidence from practice and observational studies.",renal cell carcinoma,renal cell carcinoma
173,4,"['A41', 'C91', 'N10']",Nilotinib,0.002357317,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Nilotinib is used for lymphoid leukaemia, which is part of the trajectory; indirect evidence from practice and guidelines for managing related symptoms.",lymphoid leukaemia,lymphoid leukaemia
174,4,"['A41', 'C91', 'N10']",Bosutinib,0.003712229,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,Bosutinib is used for lymphoid leukaemia (guidelines); indirect support for septicaemia and nephritis due to its anti-inflammatory properties (observational studies). Not specific to the full combo.,lymphoid leukaemia,lymphoid leukaemia
175,4,"['A41', 'C91', 'N10']",Regorafenib,0.001852646,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,Regorafenib is used for treating acute tubulo-interstitial nephritis and has indirect evidence for septicaemia and lymphoid leukaemia; accepted practice in oncology.,treating acute tubulo-interstitial nephritis and has indirect evidence for septicaemia and lymphoid leukaemia,lymphoid leukaemia and has indirect support for septicaemia and nephritis management
176,4,"['A41', 'C91', 'N10']",Ponatinib,8.22345502112547e-07,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Ponatinib is used for certain types of leukaemia, which matches the lymphoid leukaemia in the trajectory; evidence from clinical trials (RCTs) supports its use in this context.",certain types of leukaemia,certain lymphomas
177,4,"['A41', 'C91', 'N10']",Nintedanib,0.002991921,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Nintedanib is used for idiopathic pulmonary fibrosis, which can be related to acute tubulo-interstitial nephritis; indirect evidence from practice (case studies). No direct match for septicaemia or lymphoid leukaemia.",idiopathic pulmonary fibrosis,pulmonary fibrosis
179,4,"['A41', 'C91', 'N10']",Venetoclax,0.012152991,"['septicaemia', 'lymphoid leukaemia', 'acute tubulo-interstitial nephritis']",1,"Venetoclax is used for lymphoid leukaemia, which is part of the trajectory; evidence from clinical trials (RCTs) supports its use in this condition.",lymphoid leukaemia,lymphoid leukaemia
181,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Midodrine,0.000411337,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Midodrine is used for urticaria and may have indirect effects on respiratory symptoms; evidence from observational studies and accepted practice.,urticaria and may have indirect effects on respiratory symptoms,urticaria and may have indirect effects on respiratory symptoms
183,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Isoetarine,0.003809668,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,"Isoetarine is used for urticaria, which is part of the trajectory; indirect clinical support (observational/accepted practice). Not specific to the full combo.",urticaria,urticaria
184,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Ziprasidone,9.692554284853132e-06,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,"Ziprasidone is used for agitation and psychosis, which can be relevant for conditions like infectious mononucleosis and acute tonsillitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",agitation and psychosis,agitation
188,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Dapiprazole,6.359127921773224e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Dapiprazole is used for urticaria and related conditions; indirect support from observational studies and accepted practice.,urticaria and related conditions,urticaria
189,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Amitriptyline,9.226813689559769e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Amitriptyline is used for managing symptoms like pain and inflammation in conditions like urticaria and laryngitis; indirect support from clinical practice and observational studies.,symptoms like pain and inflammation in conditions like urticaria and laryngitis,urticaria and laryngeal conditions
196,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Timolol,0.026795382,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,"Timolol is commonly used for managing symptoms like bronchospasm and wheezing in respiratory conditions, which can be relevant to diseases like influenza and acute tonsillitis; indirect clinical support (observational/accepted practice).",symptoms like bronchospasm and wheezing in respiratory conditions,bronchospasm and asthma
199,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Loxapine,5.323470282605062e-07,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,"Loxapine is used for agitation and psychosis, which can be relevant for conditions like infectious mononucleosis and acute tonsillitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",agitation and psychosis,agitation
201,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Promazine,0.000763859,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,"Promazine is used for agitation and psychosis, which can be relevant for conditions like infectious mononucleosis and acute tonsillitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.",agitation and psychosis,agitation
205,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Chlorpromazine,0.003099796,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Historically used for agitation and psychosis in infectious and inflammatory conditions; indirect clinical support (observational/accepted practice). Not specific to the full combo.,agitation and psychosis in infectious and inflammatory conditions,agitation or psychosis in inflammatory conditions
208,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Carteolol,0.008509639,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Carteolol is used for urticaria and laryngeal conditions; indirect support from practice and observational studies.,urticaria and laryngeal conditions,urticaria and laryngeal conditions
210,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Amoxapine,0.020055982,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Amoxapine is used for agitation and psychosis in viral infections like influenza and infectious mononucleosis; indirect clinical support (observational/accepted practice). Not specific to the full combo.,agitation and psychosis in viral infections like influenza and infectious mononucleosis,agitation or psychosis in inflammatory conditions
213,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Clonidine,2.735731316211336e-07,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Indirect evidence for use in managing symptoms like agitation or anxiety in infectious conditions; accepted practice in similar presentations.,agitation or anxiety in infectious conditions,agitation or anxiety in infectious conditions
222,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Epinephrine,2.944894061657066e-12,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Epinephrine is commonly used for allergic reactions such as urticaria and can be used in emergency situations for bacterial infections and influenza; indirect clinical support (observational/accepted practice).,allergic reactions such as urticaria and can be used in emergency situations for bacterial infections and influenza,allergic reactions such as urticaria and can be used in emergency situations for bacterial infections and influenza
223,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Phentolamine,8.397891992354148e-07,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Phentolamine is used for urticaria and allergic reactions; indirect support for other conditions due to its anti-histamine properties.,urticaria and allergic reactions,urticaria
228,5,"['A49', 'B27', 'J03', 'J11', 'J38', 'L50']",Methoxamine,6.359127921773224e-05,"['bacterial infection of site', 'infectious mononucleosis', 'acute tonsillitis', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']",1,Methoxamine is used for allergic reactions like urticaria and can manage symptoms of infectious mononucleosis and acute tonsillitis; indirect clinical support (observational/accepted practice). Not specific to the full combo.,allergic reactions like urticaria and can manage symptoms of infectious mononucleosis and acute tonsillitis,allergic reactions like urticaria and can manage symptoms of infectious mononucleosis and acute tonsillitis
